singkatan,asli
yg,yang
bgt,banget
bgtt,banget
bangett,banget
bngt,banget
gk,tidak
gak,tidak
ga,tidak
gajelas,tidak jelas
gaje,tidak jelas
udh,sudah
dgn,dengan
kreen,keren
nyesel,menyesal
tp,tetapi
tonton,nonton
gw,saya
gue,saya
lu,kamu
aja,saja
kalo,kalau
klo,kalau
wkwk,tertawa
sy,saya
dpt,dapat
emg,memang
emank,memang
trus,terus
ma,sama
tu,itu
bg,bang
blm,belum
bener,benar
sebenernya,sebenarnya
tetep,tetap
cuman,cuma
pake,pakai
doang,saja
ngasih,kasih
denger,dengar
kayanya,sepertinya
indo,indonesia
gin,begini
kl,kalau
bs,bisa
cb,coba
smw,semua
dlm,dalam
sperti,seperti
bneran,benar
benerny,benar
kyk,seperti
dksih,kasih
